Author,Rating,Review Text,Review Text Length,Word Count,Avg Word Length,Rating Binary,Sentiment Polarity,Sentiment
Kim Einfeld,1,pleas review hour list page say pm store close ninepm wast time,63,12,4.333333333333333,0,0.0,neutral
Monsieur Martin,2,printer work way scan print label,33,6,4.666666666666667,0,0.0,neutral
Darryl Field,5,work great,10,2,4.5,1,0.8,positive
Zuz Zuz,5,awesom servic,13,2,6.0,1,0.0,neutral
Navneet Garcha,1,realli upset servic nd time get deliveri one came build one use buzzer code reschedul deliveri dont understand show reschedul,125,20,5.3,0,0.0,neutral
B,1,shipment delay updat provid sat sort facil rerout pickup locat ad delay pick item paid extra expedit ship avoid cost,116,20,4.85,0,0.0,neutral
Daniel Esguerra,1,terribl compani fact amazon even busi purol baffl order tv last week wednesday amazon prime day deliveri today friday week later still havent receiv packag compani lazi doesnt care custom one deliveri servic ever let could give neg star would,242,40,5.075,0,0.0,neutral
Spooky Mulder,1,packag said would arriv sure last friday cours didnt said would arriv monday cours didnt monday night scan sort facil time whatev reason final say oh pound need arrang special deliveri said would contact us setup special deliveri time cours didnt wife phone final tuesday morn get call said would give us say phone back yet anoth hour setup deliveri probabl sever day went store bought desk choic use deliveri compani get item store purol get packag promis make littl effort get stuff time manner avoid cost,507,87,4.839080459770115,0,0.17346938775510207,neutral
rajvinder kaur brar,1,bad serviceeven one star much paid express servic nd even ask hold packag import document call told go deliv home request system dont driver phone number thing someon emerg reach sit home wait super slow servic suppos express,225,38,4.947368421052632,0,-0.11666666666666664,neutral
Tarnvir UPPAL,5,go back build go insid box right,32,7,3.7142857142857144,1,0.14285714285714285,neutral
Harshdeep Singh,1,dropbox,7,1,7.0,0,0.0,neutral
A N,1,didnt find,10,2,4.5,0,0.0,neutral
Johan Jaimes,1,look purol drop box could find look insid build level around mayb anymor go portag av,85,16,4.375,0,0.0,neutral
Paracide,1,look long time cant find drop box,33,7,3.857142857142857,0,-0.05,neutral
Brenda Kwiatkowski,5,easi fast friendli staff certainli know effici,46,7,5.714285714285714,1,0.2,positive
Darlene Berry,5,hand packag friendli michael staff front cash regist,52,8,5.625,1,0.0,neutral
D Day,1,cant find drop box anoth person couldnt find neither,52,9,4.888888888888889,0,0.0,neutral
Chris Harp,5,simpli drop go,14,3,4.0,1,0.0,neutral
John Spacek,2,doesnt handl parcel pile top letter drop box open public amazon return left risk,80,14,4.785714285714286,0,0.125,neutral
Kelly Morrisseau,1,find drop box anywher look floor address sign direct,52,9,4.888888888888889,0,0.1,neutral
Arthur Giesbrecht,5,fast easi servic,16,3,4.666666666666667,1,0.2,positive
Kris Chorneychuk,1,map icon say open hr insid offic build signag outsid build arent visibl thru glass lock door walk downtown past drop locat suppos saturday afternoon couldnt drop parcel edit door build gener lock outsid mf ampm,210,36,4.861111111111111,0,-0.125,neutral
Jesse Aarinola,4,doesnt servic amazon return direct number unfortun wait main line purol,71,11,5.545454545454546,1,0.13333333333333333,neutral
Johan Jaimes,4,entranc portag av main entranc lock access card peopl work build kind open door insid drop box easi find secur person kind help envelop pick day drop,149,27,4.555555555555555,1,0.3416666666666667,positive
Kamrul Chowdhury,5,easi secur locat drop return item locat near back door build,60,11,4.545454545454546,1,0.05,neutral
Allan Miller,1,packag left day ahead appoint home receiv packag packag left front step attempt contact resolv issu got autom respons short happi servic got,140,23,5.130434782608695,0,0.0,neutral
Sehajpreet Singh,5,guy purol micheal store entranc outsid mall sign board say purol go insid michealand ask parcel cash counter give parcel great daycoz mark show locat insid mall spend minut look micheal insid mall store insid mall entranc outsid ad photo googl didnt show dont know atleast other dont wast time like,298,51,4.862745098039215,1,0.3375,positive
Angel Peterson,1,hard find,9,2,4.0,0,-0.2916666666666667,negative
Apofils Lawilka,5,good servic got packag sent back return well,44,8,4.625,1,0.35,positive
Jonathan Munro,1,here advic use ship compani purol arent worth unless home busi hour never leav packag without signatur ask deliv without requir signatur outright refus wont leav packag local post offic like everi deliveri compani need go depot pick packag middl nowher take age get especi dont car take bu hold packag day hope find time short durat obtain person properti deliveri compani job receiv properti tell pick dispos cant pay high fee use compani im tell,447,76,4.894736842105263,0,0.11499999999999999,neutral
OrangeHarrisson,1,pickup center basic stick need go everi time youv curs deal due clueless seller wont use proper ship compani sinc deliveri guy knock call leav notic sinc theyr hurri canada post call wait downstair pickup point alway nearbi fedex up inconveni ship compani deal alway take whole day piec id proof address final releas parcel open hour suggest well,346,59,4.88135593220339,0,-0.0035714285714285704,neutral
Viviane Desbiens,1,servic fast unfortun issuesdamag packag caus wont reembours servic lost wont even reembours ship fee disappoint,111,16,6.0,0,0.2,positive
Joana Medeiros,1,inperson servic even wors onlin servic rude serv told packag held hostag pleas close give place better compani incred major issu purol compar compani like dhl canada post intelcom up etc absolut one email notif either like think oper year,238,40,4.975,0,0.08750000000000001,neutral
Omar Sedky,1,scar face ship industri gather employe line bend knee apolog shipment manag useless compani save univers human close compani,124,19,5.578947368421052,0,-0.25,negative
